source_file,alpha_deg,q_inf_Pa,airspeed_mps,rho_kgm3,sting_normal_N,sting_axial_N,sting_pitching_Nm,Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa]
ASEN_2802___WTData_LA_Test_AoA_-9,0.0,109.16955,14.919750000000002,0.9809500000000002,3917.671,-2074.1489999999994,-104.296,48.154399999999995,42.65945000000001,19.31695,-58.39005000000001,-68.48735000000002,-74.5266,-61.660799999999995,-72.09725,86.44645000000001,-75.8935,-73.90875,-94.2204,-43.437149999999995,-93.87550000000002,58.901799999999994,-87.077
ASEN_2802___WTData_LA_Test_AoA_00,0.0,109.33444999999999,14.923750000000002,0.9817500000000002,3917.671,-2074.1489999999994,-104.296,108.2905,-80.59055000000001,-64.79235,-137.89185,-123.18140000000001,-111.41125,-82.94055,-91.0469,83.32074999999999,-10.19425,-6.80815,-21.14455,7.534649999999999,-35.89705000000001,72.00625000000001,-55.838800000000006
ASEN_2802___WTData_LA_Test_AoA_01,0.0,111.06490000000001,15.044250000000002,0.9813000000000001,3917.671,-2074.1489999999994,-104.296,107.4618,-105.51825,-79.79835,-150.13925,-131.53865000000002,-117.9625,-88.69100000000002,-98.9152,86.598,-8.229400000000002,-3.8179500000000006,-16.889999999999997,12.45585,-26.99325,75.0455,-35.917449999999995
ASEN_2802___WTData_LA_Test_AoA_02,0.0,110.63735000000001,15.007249999999999,0.98245,3917.671,-2074.1489999999994,-104.296,102.51364999999998,-130.814,-95.19480000000001,-161.29564999999997,-139.2592,-123.13410000000002,-95.8407,-108.2558,88.49955,-6.973400000000001,-2.4307500000000006,-13.113800000000001,16.62825,-19.040700000000005,77.61925,-17.956149999999997
ASEN_2802___WTData_LA_Test_AoA_03,0.0,109.05774999999998,14.898900000000001,0.98235,3917.671,-2074.1489999999994,-104.296,90.97485,-155.01645000000002,-108.59685000000002,-171.21925,-146.0288,-130.43225,-103.66234999999999,-119.76344999999999,89.01955000000001,-5.57665,-0.004350000000000012,-9.51265,20.6929,-12.0544,79.8824,-1.9257000000000002
ASEN_2802___WTData_LA_Test_AoA_04,0.0,111.38285,15.02515,0.9866499999999998,3917.671,-2074.1489999999994,-104.296,65.8537,-200.89090000000002,-136.62705000000003,-197.86825000000005,-168.35914999999997,-153.0025,-125.25805000000003,-108.21609999999998,92.66560000000001,-3.8571,3.138,-5.274900000000001,26.744799999999998,-3.558700000000001,87.19845000000001,17.73305
ASEN_2802___WTData_LA_Test_AoA_05,0.0,108.87925,14.855849999999998,0.9865499999999997,3917.671,-2074.1489999999994,-104.296,33.206149999999994,-218.21249999999995,-144.74534999999997,-198.2599,-169.35254999999998,-158.69734999999997,-133.41884999999996,-82.00115,87.5258,-2.6216999999999997,5.0081500000000005,-1.9175999999999995,29.315599999999996,3.13005,85.40735,30.14575
ASEN_2802___WTData_LA_Test_AoA_06,0.0,111.19612499999998,15.013925,0.9864750000000001,3917.671,-2074.149,-31.84530000000001,-14.72015,-264.88364999999993,-171.7545,-220.55187499999997,-191.86395000000002,-185.232825,-160.120625,-88.11485,90.5768,-2.293225,6.941775,1.4635,34.46005,10.680575000000001,91.664225,45.97212499999999
ASEN_2802___WTData_LA_Test_AoA_07,0.0,111.143,15.01015,0.9865499999999999,3917.671,-2074.1489999999994,104.223,-54.18915,-288.09734999999995,-184.35925000000003,-227.90044999999995,-202.18175000000002,-197.94235,-158.33405,-91.43915,89.94770000000001,-1.4274499999999999,8.6744,4.267649999999999,37.68270000000001,16.06915,93.0558,55.055899999999994
ASEN_2802___WTData_LA_Test_AoA_08,0.0,111.04835,15.00445,0.9864499999999998,3917.671,-2074.1489999999994,-104.296,-123.90150000000001,-335.78165,-211.53125,-252.48110000000003,-230.80025,-228.03975,-125.76579999999998,-99.83835,92.04150000000001,-0.9535500000000001,10.323400000000001,7.3645499999999995,42.12785,22.86345,97.9883,68.04960000000001
ASEN_2802___WTData_LA_Test_AoA_12,0.0,110.31564999999998,14.969999999999999,0.9845499999999998,3917.671,-2074.1489999999994,-104.296,33.6018,-137.8517,-58.7116,-103.85855000000001,-104.81335000000001,-104.74389999999998,-84.71674999999999,-97.19460000000001,81.62425,-40.075300000000006,-18.4917,-17.5619,24.27765,0.19495000000000012,88.94550000000001,37.0297
ASEN_2802___WTData_LA_Test_AoA_13,0.0,110.87915000000002,15.00715,0.9846499999999999,3917.671,-2074.1489999999994,-104.296,18.555,-140.7833,-61.25875,-107.73710000000001,-108.3756,-107.25125,-88.94675000000001,-105.29945000000001,81.3839,-42.551,-19.6678,-17.9283,25.3746,2.319,90.42495,42.7339
ASEN_2802___WTData_LA_Test_AoA_14,0.0,111.78575000000001,15.065699999999998,0.9848499999999998,3917.671,-2074.1489999999994,-104.296,0.8300999999999998,-138.98865,-60.23630000000001,-108.06094999999998,-109.33655000000002,-108.04024999999999,-89.03755000000001,-108.04580000000001,80.66250000000002,-42.14450000000001,-18.0222,-15.6547,27.968700000000002,6.3075,91.832,49.2901
ASEN_2802___WTData_LA_Test_AoA_15,0.0,107.10060000000001,14.74615,0.9851000000000001,3917.671,-2074.1489999999994,-104.296,-23.9062,-135.83915000000002,-60.885299999999994,-107.77885,-107.9979,-109.38475000000001,-89.545,-106.58420000000001,76.0264,-41.190799999999996,-16.86185,-13.737150000000003,28.544600000000003,9.599700000000002,88.4418,53.205799999999996
